Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Subcategory,Product Name,Sales,Quantity,Profit,Returns,Payment Mode
WM-100001,2024-11-17,2024-11-19,Same Day,CUST-1520,Brian Yang,Consumer,United States,North Judithbury,California,West,PROD-22280,Office Supplies,Paper,A4 Paper Pack,366.05,2,74.86,Yes,Debit Card
WM-100002,2024-08-08,2024-08-10,Second Class,CUST-7924,Jonathan Johnson,Corporate,United States,New Roberttown,New York,East,PROD-46421,Office Supplies,Binders,Heavy Duty Binder,1134.04,5,299.66,Yes,Debit Card
WM-100003,2025-07-25,2025-07-26,Same Day,CUST-9785,Jerry Ramirez,Consumer,United States,Lake Debra,Pennsylvania,East,PROD-59615,Furniture,Chairs,Gaming Chair,910.27,6,156.27,Yes,Credit Card
WM-100004,2025-02-16,2025-02-17,Standard Class,CUST-7227,Daniel Gallagher,Corporate,United States,Port Lindachester,Ohio,Central,PROD-69429,Office Supplies,Binders,Ring Binder,1659.93,5,569.94,No,Cash on Delivery
WM-100005,2026-03-17,2026-03-20,Second Class,CUST-3677,Dennis Williams,Corporate,United States,North Noahstad,Pennsylvania,East,PROD-59735,Technology,Phones,Google Pixel 8,1760.51,2,306.52,No,Cash on Delivery
WM-100006,2024-07-28,2024-08-04,Second Class,CUST-9179,Sandra Montgomery,Corporate,United States,Herrerafurt,Pennsylvania,East,PROD-94259,Furniture,Chairs,Office Chair,802.32,5,-56.34,No,UPI
WM-100007,2024-07-02,2024-07-07,First Class,CUST-4593,Patricia Galloway,Consumer,United States,Barbaraland,Pennsylvania,East,PROD-76784,Furniture,Chairs,Executive Chair,1356.66,10,125.89,No,UPI
WM-100008,2024-12-29,2024-12-31,Same Day,CUST-8668,Roy Martin,Home Office,United States,Port Craig,California,West,PROD-42953,Furniture,Chairs,Executive Chair,1984.36,7,334.13,No,Net Banking
WM-100009,2025-11-24,2025-12-01,Same Day,CUST-1053,Maria Lynch,Home Office,United States,Jasonview,California,West,PROD-44522,Office Supplies,Storage,File Organizer,1609.59,2,51.63,No,Net Banking
WM-100010,2024-10-01,2024-10-03,First Class,CUST-9005,Devin Schaefer,Consumer,United States,New Jessica,New York,East,PROD-24662,Office Supplies,Paper,A4 Paper Pack,947.31,3,135.2,Yes,Cash on Delivery
WM-100011,2026-01-14,2026-01-15,Second Class,CUST-8787,Crystal Johnson,Home Office,United States,Lake Mark,Illinois,Central,PROD-31643,Furniture,Chairs,Executive Chair,232.42,8,62.11,No,Cash on Delivery
WM-100012,2024-11-07,2024-11-13,Standard Class,CUST-5061,Latoya Robbins,Consumer,United States,Richardland,Georgia,South,PROD-18392,Office Supplies,Storage,Storage Box,793.06,6,77.04,No,Cash on Delivery
WM-100013,2026-04-15,2026-04-16,First Class,CUST-2160,Judy Baker,Home Office,United States,Lake Victor,Washington,West,PROD-41195,Office Supplies,Binders,Ring Binder,1775.45,1,5.37,Yes,Cash on Delivery
WM-100014,2024-12-18,2024-12-20,Same Day,CUST-6804,Jessica Silva,Corporate,United States,Lake Anna,Georgia,South,PROD-63883,Office Supplies,Binders,Heavy Duty Binder,1965.86,7,-28.14,Yes,UPI
WM-100015,2025-06-27,2025-06-30,Same Day,CUST-3296,Peter Callahan Jr.,Corporate,United States,Jeffreyberg,California,West,PROD-34050,Furniture,Tables,Study Table,2005.47,2,23.86,No,Cash on Delivery
WM-100016,2025-09-03,2025-09-04,Second Class,CUST-3724,James Ferrell,Corporate,United States,Port Erin,Georgia,South,PROD-73653,Furniture,Tables,Study Table,145.46,9,40.18,Yes,UPI
WM-100017,2025-11-07,2025-11-08,First Class,CUST-7930,Melanie Herrera,Home Office,United States,Tashatown,New Jersey,East,PROD-82845,Furniture,Chairs,Gaming Chair,2463.57,5,780.79,No,UPI
WM-100018,2024-08-22,2024-08-27,Standard Class,CUST-8811,Christopher Smith,Home Office,United States,Kaylamouth,Massachusetts,East,PROD-79615,Technology,Phones,iPhone 15,1844.63,1,436.42,Yes,Debit Card
WM-100019,2025-06-26,2025-06-27,Standard Class,CUST-2343,Sheila Evans,Corporate,United States,Teresaburgh,California,West,PROD-96163,Furniture,Chairs,Executive Chair,1694.53,4,138.44,No,Net Banking
WM-100020,2024-09-30,2024-10-02,Same Day,CUST-6180,Paula Moreno,Consumer,United States,East Nathaniel,Ohio,Central,PROD-11220,Furniture,Bookcases,Metal Bookcase,678.72,3,137.28,No,UPI
WM-100021,2024-08-22,2024-08-24,First Class,CUST-3584,Sherry Decker,Corporate,United States,New Mariotown,California,West,PROD-81200,Office Supplies,Binders,Heavy Duty Binder,2334.48,2,690.24,No,Cash on Delivery
WM-100022,2026-04-09,2026-04-12,First Class,CUST-5616,Angela Dennis,Home Office,United States,Johnbury,Oregon,West,PROD-37607,Office Supplies,Binders,Ring Binder,306.26,2,71.69,No,Cash on Delivery
WM-100023,2024-09-04,2024-09-11,Standard Class,CUST-6464,Theresa Martin,Consumer,United States,Port Amandaberg,Pennsylvania,East,PROD-93507,Office Supplies,Paper,Sticky Notes,145.98,7,39.88,Yes,Cash on Delivery
WM-100024,2026-01-04,2026-01-09,Standard Class,CUST-7049,Christina Collins,Home Office,United States,Brandtside,New Jersey,East,PROD-82420,Office Supplies,Storage,File Organizer,43.98,2,14.31,No,Debit Card
WM-100025,2025-05-13,2025-05-20,Second Class,CUST-2684,Danny Morgan,Corporate,United States,Samuelhaven,Georgia,South,PROD-83385,Furniture,Tables,Coffee Table,2431.05,1,740.29,No,UPI
WM-100026,2024-07-22,2024-07-23,Second Class,CUST-5371,Amy Jones,Consumer,United States,New Jeffrey,Massachusetts,East,PROD-24168,Furniture,Chairs,Gaming Chair,464.81,6,117.17,No,UPI
WM-100027,2024-11-28,2024-12-01,Same Day,CUST-6378,John Ryan,Corporate,United States,Port Markhaven,Nevada,West,PROD-19099,Furniture,Chairs,Gaming Chair,776.87,4,0.25,No,Cash on Delivery
WM-100028,2026-02-14,2026-02-15,Standard Class,CUST-2776,Brandon Hopkins,Home Office,United States,Sanchezfort,Michigan,Central,PROD-66959,Office Supplies,Storage,File Organizer,306.05,5,-6.01,No,Cash on Delivery
WM-100029,2026-03-29,2026-04-02,Standard Class,CUST-9518,Megan Joyce,Home Office,United States,Rodneymouth,Michigan,Central,PROD-97900,Office Supplies,Storage,Storage Box,2250.77,4,32.92,No,Debit Card
WM-100030,2026-02-08,2026-02-13,First Class,CUST-7691,Danielle Lee,Corporate,United States,North Richardmouth,Michigan,Central,PROD-62743,Furniture,Bookcases,Metal Bookcase,798.51,2,178.78,No,Cash on Delivery
WM-100031,2024-12-30,2025-01-05,Same Day,CUST-9977,Shannon Jones,Consumer,United States,Taylorburgh,Massachusetts,East,PROD-49829,Technology,Copiers,Canon Copier,1875.37,3,331.91,No,Cash on Delivery
WM-100032,2026-03-08,2026-03-12,Standard Class,CUST-5649,Brandon Molina,Home Office,United States,North Deniseside,New Jersey,East,PROD-97012,Office Supplies,Storage,File Organizer,1115.63,4,145.06,No,Net Banking
WM-100033,2025-06-05,2025-06-07,Same Day,CUST-2193,James Brown,Corporate,United States,East Richard,Texas,Central,PROD-64321,Furniture,Bookcases,Metal Bookcase,2020.28,3,-179.82,No,Net Banking
WM-100034,2024-12-19,2024-12-21,Same Day,CUST-4585,Rachel Mitchell,Consumer,United States,Smithfurt,New Jersey,East,PROD-77889,Technology,Accessories,Wireless Mouse,1647.02,1,496.9,Yes,UPI
WM-100035,2024-11-13,2024-11-20,Same Day,CUST-9270,Lauren Daniels,Corporate,United States,Mooreport,Washington,West,PROD-81810,Furniture,Tables,Dining Table,1172.32,9,403.92,No,UPI
WM-100036,2025-06-02,2025-06-09,First Class,CUST-8206,Sarah Moore,Consumer,United States,Brianshire,New Jersey,East,PROD-47450,Technology,Accessories,Wireless Mouse,1601.4,9,189.08,No,Debit Card
WM-100037,2025-11-03,2025-11-05,Standard Class,CUST-7797,Jennifer David,Corporate,United States,Port Jacobland,Ohio,Central,PROD-53369,Technology,Copiers,HP Copier,394.06,7,83.65,No,Net Banking
WM-100038,2025-09-21,2025-09-25,Same Day,CUST-8814,Matthew Cunningham,Consumer,United States,New Brooke,Virginia,South,PROD-56105,Furniture,Chairs,Gaming Chair,2264,10,737.45,Yes,Cash on Delivery
WM-100039,2025-10-30,2025-11-03,First Class,CUST-7624,Cynthia Foster,Home Office,United States,Sarahborough,Virginia,South,PROD-31632,Office Supplies,Storage,Storage Box,564.17,7,66.88,No,UPI
WM-100040,2024-06-04,2024-06-05,Standard Class,CUST-5262,Zachary Ferrell,Corporate,United States,Stephenland,New York,East,PROD-52906,Technology,Copiers,HP Copier,1614.02,3,468.2,No,Debit Card
WM-100041,2024-09-07,2024-09-14,Same Day,CUST-1317,Shirley Suarez,Home Office,United States,New Jasonview,North Carolina,South,PROD-80702,Technology,Accessories,USB-C Hub,2378.99,7,32.17,Yes,Credit Card
WM-100042,2026-03-06,2026-03-13,Second Class,CUST-4908,Elizabeth Riggs,Consumer,United States,Justinmouth,Illinois,Central,PROD-72070,Office Supplies,Binders,Ring Binder,96.95,4,-1,Yes,Credit Card
WM-100043,2026-05-21,2026-05-23,First Class,CUST-2771,Teresa Taylor,Home Office,United States,Lake Lisaport,New Jersey,East,PROD-13365,Office Supplies,Paper,Sticky Notes,1522.61,2,380.66,No,Cash on Delivery
WM-100044,2024-12-25,2024-12-30,Standard Class,CUST-1672,Daniel Cooper,Corporate,United States,North Juliaberg,Virginia,South,PROD-79827,Office Supplies,Binders,Ring Binder,1732.72,4,-93.82,No,UPI
WM-100045,2026-05-01,2026-05-02,Same Day,CUST-3506,Amber Walters,Corporate,United States,Williamview,Texas,Central,PROD-33086,Office Supplies,Storage,File Organizer,2126.95,8,-111.68,No,Net Banking
WM-100046,2026-01-16,2026-01-21,First Class,CUST-8385,William Martin,Consumer,United States,Bradleymouth,Michigan,Central,PROD-70910,Technology,Accessories,Laptop Sleeve,685.62,4,187.74,Yes,Net Banking
WM-100047,2025-08-06,2025-08-08,First Class,CUST-5526,Benjamin Ware,Home Office,United States,Arnoldchester,North Carolina,South,PROD-11330,Furniture,Tables,Coffee Table,1229.12,6,318.37,No,Net Banking
WM-100048,2025-03-10,2025-03-14,Same Day,CUST-1282,Brittany Anderson,Consumer,United States,New Barry,New York,East,PROD-48566,Furniture,Bookcases,Metal Bookcase,1396.84,4,294.42,No,Debit Card
WM-100049,2026-04-26,2026-04-30,First Class,CUST-8434,Michael Estrada,Corporate,United States,Michaelton,Georgia,South,PROD-50189,Technology,Copiers,Canon Copier,1392.61,6,127.39,No,Cash on Delivery
WM-100050,2025-09-22,2025-09-23,First Class,CUST-9595,Tammy Young,Home Office,United States,Kimberlychester,New York,East,PROD-47093,Office Supplies,Binders,Heavy Duty Binder,1862.35,3,-25.71,No,Credit Card
WM-100051,2026-04-12,2026-04-15,Standard Class,CUST-5786,Christopher Middleton,Home Office,United States,Port Lisa,Pennsylvania,East,PROD-26551,Furniture,Tables,Dining Table,55.09,9,-2.37,Yes,UPI
WM-100052,2024-12-21,2024-12-25,Same Day,CUST-2869,Michael Reyes,Consumer,United States,Phambury,California,West,PROD-62521,Office Supplies,Paper,Sticky Notes,1112.36,3,372.06,No,UPI
WM-100053,2026-02-21,2026-02-24,Second Class,CUST-9561,Hannah Hoover,Corporate,United States,Port Thomasborough,California,West,PROD-69049,Furniture,Chairs,Executive Chair,231.25,4,-10.8,No,UPI
WM-100054,2024-10-25,2024-10-30,Second Class,CUST-5335,Donald Jones,Home Office,United States,East Andrew,Michigan,Central,PROD-20641,Technology,Copiers,HP Copier,2401.07,2,783.75,No,Debit Card
WM-100055,2025-04-03,2025-04-04,Second Class,CUST-5720,Sarah Rivera,Home Office,United States,Michaelhaven,Massachusetts,East,PROD-47056,Office Supplies,Binders,Ring Binder,1033.12,10,115.15,Yes,UPI
WM-100056,2024-10-13,2024-10-17,Second Class,CUST-2169,Victoria Johnson,Consumer,United States,North Natalieview,Washington,West,PROD-31747,Technology,Copiers,HP Copier,304.65,4,58.32,No,Cash on Delivery
WM-100057,2025-05-01,2025-05-04,Same Day,CUST-2317,Kayla Cruz,Home Office,United States,Reedmouth,Michigan,Central,PROD-15224,Furniture,Tables,Study Table,1755.34,5,219.79,No,UPI
WM-100058,2025-05-01,2025-05-07,First Class,CUST-1659,Timothy Ryan,Consumer,United States,West Bradley,Ohio,Central,PROD-71669,Furniture,Chairs,Office Chair,2093.18,10,343.71,Yes,Net Banking
